ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
3CF106,D-CSOS,LJ45,Bombardier,45,Bombardier 45,0,Jetcall,JCL,45-161,2001
3CF14E,D-CSRM,C25C,Cessna,525C Citation CJ4,Cessna 525C Citation CJ4,1,Private,,525C0362,
3CF1A2,D-CSUS,PC24,Pilatus,PC-24,Pilatus PC-24,1,Private,,285,2022
3CF4EA,D-CUBA,C25B,Cessna,525B Citation CJ3,Cessna 525B Citation CJ3,0,DAS Private Jets,DWW,525B0169,2007
3CF601,D-CULT,D228,Dornier,228-212,Dornier 228-212,0,Business Wings,JMP,8192,1990
3CF62A,D-CUNI,LJ45,Learjet,45,Learjet 45,0,Unicair,UNI,45-308,2006
3CF6F9,D-CUVH,E55P,Embraer,Phenom 300,Embraer Phenom 300,1,Private,,50500617,2021
3CF774,D-CVAA,PC24,Pilatus,PC-24,Pilatus PC-24,0,Volkswagen AirService,BTX,149,2019
3CF775,D-CVAB,PC24,Pilatus,PC-24,Pilatus PC-24,0,Volkswagen AirService,BTX,161,2019
3CF8BE,D-CVMS,PC24,Pilatus,PC-24,Pilatus PC-24,0,Volkswagen AirService,BTX,224,2021
3CFBB0,D-CWPS,E55P,Embraer,Phenom 300,Embraer Phenom 300,0,International Jet Management,IJM,50500324,
