Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
BFW,Bahrain Defence Force,BFW,,,
BFX,Fly Away,BFX,,,.*
BGA,Airbus Transport International,BGA,,,
BGD,Air Bangladesh,BGD,B9,,
BGF,Aviodetachment-28,BGF,,,
BGG,Aero BG,BGG,,,
BGH,BH Air,BGH,,,
BGI,British Gulf International,BGI,,,
BGK,British Gulf International-Fez,BGK,,,
BGM,Bugulma Air Enterprise,BGM,,,
BGR,Budget Air Bangladesh,BGR,,,
BGT,Bergen Air Transport,BGT,,,
BGY,Bingo Airways,BGY,,,
BHA,Buddha Air,BHA,U4,,
BHC,Aerotaxis De La Bahia,BHC,,,
BHI,Balkh Airlines,BHI,,,
BHL,Bristow Helicopters,BHL,,,
BHN,Bristow Helicopters Nigeria,BHN,,,
BHO,Bhoja Airlines,BHO,,,
BHP,Belair Airlines,BHP,4T,,
BHR,Bighorn Airways,BHR,,,
BHS,Bahamasair,BHS,UP,,
BHT,Bright Air,BHT,,,
BHV,Specavia Air Company,BHV,,,
BHY,Bosphorus European Airways,BHY,,,
BIB,Michelin Air Services,BIB,,,
BID,Binair,BID,,,.*
BIG,Big Island Air,BIG,,,
BIH,British International Helicopters,BIH,BS,,
BIL,Billund Air Center,BIL,,,
BIN,Boise Interagency Fire Center,BIN,,,
BIO,Bioflight,BIO,,,.*
BIR,Bird Leasing,BIR,,,
BIS,Sky Bishek,BIS,,,
BIV,Aviaservice,BIV,,,
BIX,Braathens International Airways,BIX,TT,9\d\d\d,
BIZ,Bizjet Ltd,BIZ,,,
BJA,Baja Air,BJA,,,
BJC,Baltic Jet Aircompany,BJC,,,
BJK,"Atlantic Airlines, Inc.",BJK,EX,,
BJN,Beijing Airlines,BJN,CA,,
BJS,Business Jet Solutions,BJS,,,
BJT,ACM Aviation,BJT,,,
BKA,Bankair,BKA,B4,,
BKF,BF-Lento OY,BKF,,,
BKH,RAF Barkston Heath,BKH,,,
BKJ,Barken International,BKJ,,,
BKK,Blink,BKK,,,.*
BKL,Aircompany Barcol,BKL,,,
BKP,Bangkok Airways,BKP,PG,,
BKV,Bukovyna,BKV,BQ,,
BLA,Blue Air,BLA,0B,,
BLB,Blue Bird Aviation,BLB,,,
BLC,Bellesavia,BLC,,,
BLE,Blue Line,BLE,,,
BLF,Blue1,BLF,KF,,
BLG,Belgavia,BLG,,,
BLH,Blue Horizon Travel Club,BLH,,,
BLI,Thyssen Krupp AG,BLI,,,
BLJ,Blue Jet,BLJ,,,
BLK,Westcoast Energy,BLK,,,
BLL,Baltic Airlines,BLL,,,
BLM,Blue Sky Airlines,BLM,,,
BLN,Bali International Air Service,BLN,,,
BLR,Atlantic Coast Airlines,BLR,,,
BLS,Bearskin Lake Air Service,BLS,JV,,
BLT,Baltic Aviation,BLT,,,
BLU,IMP Aviation Services,BLU,,,
BLV,Bellview Airlines,BLV,B3,,
BLW,Wermlandsflyg AB,BLW,,,
BLX,TUIfly Nordic,BLX,6B,,
BLY,Starair,BLY,,,
BLZ,Aero Barloz,BLZ,,,
BM,Air Sicilia,,BM,,
BMD,British Medical Charter,BMD,,,
BME,Briggs Marine Environmental Services,BME,,,
BMH,Bristow Masayu Helicopters,BMH,,,
BMJ,Bemidji Airlines,BMJ,CH,,
BMK,GST Aero Aircompany,BMK,,,
BML,Bismillah Airlines,BML,BH,,
BMM,Atlas Blue,BMM,8A,,
BMN,Bowman Aviation,BMN,,,
BMS,Blue Air,BMS,0B,,
BMV,Alatau Airlines,BMV,,,
BMW,BMW,BMW,,,
BMX,Banco de Mexico,BMX,,,
BN,Forward Air International Airlines,,BN,,
BNA,Bun Air Corporation,BNA,,,
BNB,Aero Banobras,BNB,,,
BNC,Sundance Air,BNC,,,
BND,Bond Offshore Helicopters,BND,,,
BNE,Benina Air,BNE,,,
BNG,BN Group Limited,BNG,,,
BNH,Baoneng Business Aviation,BNH,,,.*
BNI,Alberni Airways,BNI,,,
BNL,Berniq Airways,BNL,NB,,
BNO,Avincis Aviation Norway,BNO,,,
BNR,Bonair Aviation,BNR,,,
BNS,Bancstar - Valley National Corporation,BNS,,,
BNT,Bentiu Air Transport,BNT,,,
BNV,Benane Aviation Corporation,BNV,,,
BNW,British North West Airlines,BNW,,,
BNX,LAI - Línea Aérea IAACA,BNX,KG,,
BNZ,Bonza Airlines,BNZ,AB,,
BOA,Boniair,BOA,,,
BOC,Aerobona,BOC,,,
BOD,Bond Air Services,BOD,,,
BOE,Boeing,BOE,,.*,
BOF,Bordaire,BOF,,,
BOH,Air Bohemia,BOH,,,.*
BOI,Aboitiz Air,BOI,,,
BOL,Transportes Aéreos Bolivianos,BOL,2L,,
BOO,Bookajet,BOO,,,
BOS,OpenSkies,BOS,,,
BOT,Air Botswana,BOT,BP,,
BOU,Bouraq Indonesia Airlines,BOU,BO,,
BOV,Boliviana de Aviación,BOV,OB,,
BOX,Aerologic,BOX,3S,,
BPA,Blue Panorama Airlines,BPA,BV,,
BPK,Berkhut ZK,BPK,,,
BPO,Bundespolizei-Fliegertruppe,BPO,,,
BPS,Budapest Aircraft Services/Manx2,BPS,,,
BPT,Bonus Aviation,BPT,,,
BPX,British Petroleum Exploration,BPX,,,
BQA,Boutique Aviation,BQA,,,
BRD,Brock Air Services,BRD,,,
BRE,Breeze Ltd,BRE,,,
BRF,Air Bravo,BRF,,,
BRG,Bering Air,BRG,8E,,
BRH,Star Air Cargo,BRH,,,
BRJ,Borajet,BRJ,YB,,
BRK,Briansk State Air Enterprise,BRK,,,
BRL,Air Brasd'or,BRL,,,
BRM,Air 500,BRM,,,
BRN,Branson Airlines,BRN,,,
BRO,2Excel Aviation,BRO,,,
BRP,AeroBratsk,BRP,,,
BRQ,El-Buraq Air Transport,BRQ,UZ,,
BRR,Mountain Air Service,BRR,,,
BRS,Brazilian Air Force,BRS,,,
BRT,British Regional Airlines,BRT,,,
BRU,Belavia Belarusian Airlines,BRU,B2,,
BRW,Bright Aviation Services,BRW,,,
BRX,Braathens Regional Airways,BRX,TF,,
BRY,Burundayavia,BRY,,,
BSB,Air Wings,BSB,,,
BSC,Aerostan,BSC,KW,,
BSD,Blue Star Airlines,BSD,,,
BSF,Bluesky Airways,BSF,,,.*
BSG,Blue Square Aviation,BSG,,,.*
BSI,Brasair Transportes Aéreos,BSI,,,
BSJ,Blue Swann Aviation,BSJ,,,
BSM,Blue Sky Aviation,BSM,,,
BSN,Connectair Charters,BSN,,,
BSO,Aeroclub Barcelona-Sabadell,BSO,,,
BSP,Global Airways (BSP),BSP,,,
BSR,Guine Bissaur Airlines,BSR,G6,,
BSS,Bissau Aero Transporte,BSS,,,
BST,Best Air,BST,,,
BSW,Blue Sky Airways,BSW,,,
BSY,Big Sky Airlines,BSY,GQ,,
BTC,BAL Bashkirian Airlines,BTC,V9,,
BTH,Baltijas Helicopters,BTH,,,
BTI,Air Baltic,BTI,BT,,
BTK,Batik Air,BTK,ID,,
BTL,Baltia Air Lines,BTL,,,
BTN,Buthan Airlines,BTN,B3,,
BTP,Veritair Ltd,BTP,,,
BTQ,Boutique Air,BTQ,4B,,
BTR,Botir-Avia,BTR,,,
BTS,Aerotaxis Albatros,BTS,,,
BTT,BT-Slavuta,BTT,,,
BTU,Rolls-Royce plc,BTU,,,
BTV,Batavia Air,BTV,Y6,,
BTX,Volkswagen AirService,BTX,,,.*
BTZ,Bristow U.S. LLC,BTZ,L9,,
BUC,European Air Charter,BUC,H6,,.*
BUE,Orebro Aviation,BUE,,,
BUG,UVT Aero,BUG,,,
BUL,Blue Airlines,BUL,,,
BUN,Buryat Airlines Aircompany,BUN,,,
BUR,Air Bucharest,BUR,,,
BVA,Buffalo Airways,BVA,,,
BVC,Bulgarian Aeronautical Centre,BVC,,,
BVL,Bul Air,BVL,,,
BVN,Baron Aviation Services,BVN,,,
BVR,ACM Air Charter,BVR,,,.*
BVT,Berjaya Air,BVT,J8,,
BVU,"Bellview Airlines, Sierra Leone",BVU,,,
BVV,Spark+ Joint-Stock Company,BVV,,,
BWA,Caribbean Airlines,BWA,BW,,
BWI,Blue Wing Airlines,BWI,,,
BWJ,HK Bellawings,BWJ,,,.*
BWL,BWA (2002) Ltd,BWL,,,
BWY,Fleet Requirements Air Direction Unit,BWY,,,
BXA,Bahrain Executive Air Services,BXA,,,
BXH,Bar XH Air,BXH,,,
BXI,Brussels International Airlines,BXI,,,
BXR,Redding Aero Enterprises,BXR,,,
BYA,Berry Aviation,BYA,,,
BYC,Northern Airlines Sanya,BYC,,,
BYE,Bayu Indonesia Air,BYE,BM,,
BYL,Bylina Joint-Stock Company,BYL,,,
BYR,Berytos Airlines,BYR,,,
BYT,Patriot Aviation Limited,BYT,,,
BZA,Bizair Fluggesellschaft,BZA,,,
BZD,Canadian Global Air Ambulance,BZD,,,
BZE,Zenith Aviation,BZE,,,.*
BZF,Jet Aviation Business Jets,BZF,,,
BZH,Brit Air,BZH,DB,,
BZS,Aero Biniza,BZS,,,
BZZ,Butane Buzzard Aviation Corporation,BZZ,,,
CAB,Chesapeake Air Service,CAB,,,
CAC,Conquest Airlines,CAC,,,
CAD,Cardig Air,CAD,8F,,
CAE,Colibri Aviation,CAE,,,
CAG,China National Aviation Corporation,CAG,,,
CAH,E+S Air,CAH,,,
CAI,Corendon Airlines,CAI,XC,,
CAJ,Air Caraibes Atlantique,CAJ,,,
CAK,Congo Air,CAK,,,
CAL,China Airlines,CAL,CI,,
CAM,Camai Air,CAM,R9,,
CAN,Crest Aviation,CAN,,,
CAO,Air China Cargo,CAO,CA,,
CAP,Civil Air Patrol,CAP,,,
CAQ,Cityair (Chester) Limited,CAQ,,,
CAR,Inter RCA,CAR,,,
CAS,Christman Air System,CAS,,,
CAT,Copenhagen Air Taxi,CAT,,,
CAV,Calm Air,CAV,MO,,
CAW,Comair,CAW,MN,,
CAX,Central Air Express,CAX,,,
CAY,Cayman Airways,CAY,KX,,
CAZ,Cat Aviation,CAZ,,,.*
CBA,Civil Aviation Inspectorate of the Czech Republic,CBA,,,
CBB,Cheboksary Airenterprise JSC,CBB,,,
CBC,Caribair,CBC,,,
CBD,Lockheed Martin Aeronautics,CBD,,,
CBE,Aerovías Caribe,CBE,,,
CBG,GX Airlines,CBG,GX,,
CBI,Cabi,CBI,,,
CBJ,Beijing Capital Airlines,CBJ,JD,,
CBL,Cumberland Airways (Nicholson Air Service),CBL,,,
CBM,Dragonfly Aviation Services,CBM,,,.*
CBN,Swedish Civil Aviation Administration,CBN,,,
CBO,Aerotaxi del Cabo,CBO,,,
CBR,Cabair College of Air Training,CBR,,,
CBS,Air Columbus,CBS,,,
CBT,Catalina Flying Boats,CBT,,,
CBV,Aereo Cabo,CBV,,,
CBW,SH Bellawings Airlines,CBW,,,.*
CBX,Cobrex Trans,CBX,,,
CBY,Coningsby Flying Training Unit,CBY,,,
CCA,Air China,CCA,CA,^0[478]\d$,
CCC,Air Cargo Global,CCC,CW,,
CCD,Dalian Airlines,CCD,CA,,
CCE,Cairo Air Transport Company,CCE,,,
CCF,CCF Manager Airline,CCF,,,
CCG,Central Connect Airlines,CCG,3B,,
CCH,Chilchota Taxi Aéreo,CCH,,,
CCK,Flight Trac,CCK,,,
CCM,Corse-Mediterranee,CCM,XK,,
CCO,China Air Cargo,CCO,ZY,,
CCP,Champion Air,CCP,MG,,
CCQ,Capital City Air Carriers,CCQ,,,
CCS,COMAC Express,CCS,,,
CCV,Centro De Helicopteros Corporativos,CCV,,,
CCW,Central Charter,CCW,CQ,,
CCX,Colt International,CCX,,,
CCY,Cherry Air,CCY,,,
CDA,Aerocardal,CDA,,,
CDC,Loong Air,CDC,GJ,,
CDE,Comed Group,CDE,,,
CDG,Shandong Airlines,CDG,SC,,
CDI,Cards Air Services,CDI,,,
CDL,Sunbird Airlines,CDL,,,
CDM,Carga Aérea Dominicana,CDM,,,
CDN,Canadian Helicopters,CDN,,,
CDP,Aero Condor Peru,CDP,Q6,,
CDR,Canadian Regional Airlines,CDR,,,
CDS,Spectrem Air,CDS,,,
CDT,Real Aero Club de Reus-Costa Dorado,CDT,,,
CDU,Aerotrans,CDU,,,
CDV,Airline Skol,CDV,,,
CDY,Heliaviation Limited,CDY,,,
CEA,RegionsAir,CEA,3C,,
CEB,Cebu Pacific,CEB,5J,,
CEC,Celtic Airways,CEC,,,
CED,CEDTA (Compañía Ecuatoriana De Transportes Aéreos),CED,,,
CEE,Servicios Aéreos Centrales,CEE,,,
CEF,Czech Air Force,CEF,,,
CEG,Cega Aviation,CEG,,,
CEL,Ceiba Intercontinental,CEL,C2,,
CEM,Central Mongolia Airways,CEM,,,
CEP,Chipola Aviation,CEP,,,
CER,Cetraca Aviation Service,CER,,,
CES,China Eastern Airlines,CES,MU,^(911\d|713\d|790\d|2999|[278]00|[78]99$|[25]000)$,71[01]\d
CET,Centrafrican Airlines,CET,,,
CEV,Cente D'Essais En Vol,CEV,,,
CEX,Capitol Air Express,CEX,,,
CEY,Air Century,CEY,Y2,,
CFA,China Flying Dragon Aviation,CFA,,,
CFC,Canadian Forces,CFC,,,
CFD,Cranfield University,CFD,,,
CFE,BA CityFlyer,CFE,CJ,,
CFF,Aerofan,CFF,,,
CFG,Condor,CFG,DE,,
CFH,Care Flight,CFH,,,
CFI,Flight Inspection Center of the General Administration of Civil Aviation in Chin,CFI,,,
CFJ,Fujian Airlines,CFJ,,,
CFL,Swedish Airlines,CFL,,,
CFM,ACEF,CFM,,,
CFN,Church Fenton Flying Training Unit,CFN,,,
CFR,Africa One,CFR,,,
CFS,Empire Airlines,CFS,EM,,
CFT,Jet Freighters,CFT,,,
CFU,United Kingdom Civil Aviation Authority,CFU,,,
CFV,Aero Calafia,CFV,,,
CFZ,Zhongfei General Aviation,CFZ,,,
CGA,Congo Airways,CGA,8Z,,
CGB,Air Cargo Belize,CGB,,,
CGC,Cal Gulf Aviation,CGC,,,
CGD,Charlotte Air National Guard,CGD,,,
CGE,Nelson Aviation College,CGE,,,
CGF,Cargoair,CGF,,,
CGG,Walmart Aviation,CGG,,,
CGH,Air Guilin,CGH,GT,,
CGI,Rusair JSAC,CGI,,,
CGK,Click Airways,CGK,,,
CGL,Seagle Air,CGL,,,
CGM,Cargoman,CGM,,,
CGN,Chang'an Airlines,CGN,9H,,
CGO,Chicago Air,CGO,,,
CGP,Cargo Plus Aviation,CGP,8L,,
CGR,Compagnia Generale Ripreseaeree,CGR,,,
CGS,Centre of Applied Geodynamica,CGS,,,
CGU,Chinguetti Airlines,CGU,,,
CGV,Aero Clube Do Algarve,CGV,,,
CGW,Air Great Wall,CGW,,,
CGX,United States Coast Guard Auxiliary,CGX,,,
CGY,Corporacion Paraguaya De Aeronautica,CGY,,,
CGZ,Colorful Guizhou Airlines,CGZ,GY,,
CHA,Central Flying Service,CHA,,,
CHB,West Air,CHB,PN,,
CHC,China Ocean Helicopter Corporation,CHC,,,
CHD,223 Flight Unit State Airline,CHD,,,
CHE,Top Flight Air Service,CHE,,,
CHF,Chitaavia,CHF,X7,,
CHG,Challenge Airlines,CHG,X7,,
CHH,Hainan Airlines,CHH,HU,,
CHI,Cougar Helicopters,CHI,,,
CHJ,Star Jet,CHJ,,,.*
CHL,Cohlmia Aviation,CHL,,,
CHM,Chemech Aviation,CHM,,,
CHN,Channel Island Aviation,CHN,,,.*
CHO,Chrome Air Services,CHO,,,
CHP,Aviacsa,CHP,6A,,
CHQ,Chautauqua Airlines,CHQ,RP,,
CHR,Air Charter Services,CHR,,,
CHS,Challenge Aviation,CHS,,,
CHU,Church Aircraft,CHU,,,
CHV,Air Charter Professionals,CHV,,,
CHW,Charter Air,CHW,,,
CHX,DRF Luftrettung,CHX,,.*,
CHY,China Air Cargo,CHY,ZY,,
CHZ,Challenge Air Cargo,CHZ,X6,,
CIA,Civil Aviation Authority,CIA,,,
CIB,Condor,CIB,,,
CIC,ICC Canada,CIC,,,
CID,Asia Continental Airlines,CID,,,
CIE,Czech Government Flying Service,CIE,,,
CIG,Sirius-Aero,CIG,,,
CII,Cityfly,CII,,,
CIK,Country International Airlines,CIK,,,
CIL,Cecil Aviation,CIL,,,
CIM,Cimber Sterling,CIM,QI,,
CIN,Saffron Aviation,CIN,,,
CIO,Il Ciocco International Travel Service,CIO,,,
CIR,Arctic Circle Air Service,CIR,5F,,
CIU,Cielos Airlines,CIU,A2,,
CIV,Civil Aviation Authority of New Zealand,CIV,,,
CIW,Civair Airways,CIW,,,
CJA,CanJet,CJA,C6,,
CJC,Colgan Air,CJC,9L,,
CJE,Aeroservices Corporate,CJE,,,
CJG,Zhejiang Airlines,CJG,,,
CJI,Corporate Jets,CJI,,,
CJL,Jetlines,CJL,AU,,
CJR,Caverton Helicopters,CJR,,,
CJS,Commonwealth Jet Service,CJS,,,
CJT,Cargojet Airways,CJT,W8,,
CJX,Jiangxi Air,CJX,RY,,
CJZ,Caliber Jet,CJZ,,,
CKA,Cook Inlet Aviation,CKA,,,
CKC,CKC Services,CKC,,,
CKE,Corporate Aviation Services,CKE,,,
CKK,China Cargo Airlines,CKK,CK,,
CKL,Aviation Charter Services,CKL,,,
CKM,BKS Air (Rivaflecha),CKM,,,
CKR,Crown Air Systems,CKR,,,
CKS,Kalitta Air,CKS,K4,,
CLA,Comlux Aviation,CLA,,,
CLB,Flight Precision Limited,CLB,,,
CLD,Clowes Estates Limited,CLD,,,
CLE,Colemill Enterprises,CLE,,,
CLF,Centreline,CLF,,,.*
CLG,Chalair Aviation,CLG,CE,,
CLH,Lufthansa CityLine,CLH,CL,,
CLJ,Cello Aviation,CLJ,,,.*
CLK,Clark Aviation,CLK,,,
CLL,Aerovías Castillo,CLL,,,
CLM,Cargo Link (Caribbean),CLM,,,
CLN,Barnes Olsen Aeroleasing,CLN,,,
CLP,Aero Club De Portugal,CLP,,,
CLR,Trans America,CLR,,,
CLS,Challenge Air Transport,CLS,,,
CLT,Caribbean Air Transport,CLT,,,
CLU,CargoLogicAir,CLU,P3,,
CLV,Lom Praha Flying School,CLV,,,
CLW,Centralwings,CLW,,,
CLX,Cargolux,CLX,CV,,
CLY,Clay Lacy Aviation,CLY,,,
CLZ,Cloud 9 Air Charters,CLZ,,,
CMA,CMA CGM Air Cargo,CMA,2C,,
CMB,United States Transportation Command,CMB,,.*,
CME,Prince Edward Air,CME,,,
CMF,Air Care Alliance,CMF,,,
CMG,Comet Airlines,CMG,,,
CMH,Commair Aviation,CMH,,,
CMI,Continental Micronesia,CMI,CS,,
CMJ,Comfort Jet Services,CMJ,,,
CMK,Chernomor-Avia,CMK,,,
CML,Commander Air Charter,CML,,,
CMM,Compagnie Aérienne du Mali,CMM,,,
CMN,Eckles Aircraft,CMN,,,
CMP,Copa Airlines,CMP,CM,,
CMR,CAM Air Management,CMR,,,
CMS,Camex Airlines,CMS,Z7,,
CMT,Casement Aviation,CMT,,,
CMU,Northern Aviation Service,CMU,,,
CMV,Calima Aviación,CMV,3C,,
CMX,El Caminante Taxi Aéreo,CMX,,,
CMY,Cape Smythe Air,CMY,,,
CMZ,CM Stair,CMZ,,,
CN,Islands Nationair,,CN,,
CNA,Centavia,CNA,7N,,
CNB,Cityline Hungary,CNB,,,
CNC,Corporación Aéreo Cencor,CNC,,,
CND,Corendon Dutch Airlines,CND,CD,,
CNE,Air Toronto,CNE,,,
CNF,Canary Fly,CNF,PM,,
CNG,Coastal Airways,CNG,,,
CNH,Aquila Air,CNH,,,
CNI,Empresa Nacional De Servicios Aéreos,CNI,,,
CNJ,Nanjing Airlines,CNJ,,,
CNK,Sunwest Home Aviation,CNK,,,
CNL,Centennial Airlines,CNL,,,
CNM,Air China Inner Mongolia,CNM,CA,,
CNR,Condor Aero Services,CNR,,,
CNS,PlaneSense,CNS,,,.*
CNT,Connect Linhas Aéreas,CNT,,,
CNU,Air Consul,CNU,,,
CNW,North-Western Cargo,CNW,CO,,
CNX,AllCanada Express,CNX,,,
CNY,Central Airways,CNY,,,
CO,Continental Express,,CO,,
COA,Continental Airlines,COA,CO,,
COD,Concordavia,COD,,,
COF,Confort Air,COF,,,
COH,Coltishall Flying Training Unit,COH,,,
COL,Columbia Air,COL,,,
COM,Comair,COM,OH,,
CON,Continental Oil,CON,,,
COO,Corporate Airlink,COO,,,
COP,Copper State Air Service,COP,,,
COT,Costa Airlines,COT,,,
COV,Helicentre Coventry,COV,,,
COW,Cowi,COW,,,
COY,Coyne Aviation,COY,7C,,
COZ,Cosmic Air,COZ,F5,,
CPA,Cathay Pacific,CPA,CX,,
CPB,Corpac Canada,CPB,,,
CPC,Canadian Pacific Airlines,CPC,CP,,
CPD,Capital Airlines,CPD,,,
CPG,Corporacion Aeroangeles,CPG,,,
CPH,Champagne Airlines,CPH,,,
CPI,Compagnia Aerea Italiana,CPI,,,
CPJ,Phenix Jet,CPJ,,,.*
CPL,Chaparral Airlines,CPL,,,
CPM,Compagnie Mauritanienne Des Transports,CPM,,,
CPN,Caspian Airlines,CPN,RV,,
CPO,Corporate Aircraft Company,CPO,,,
CPR,Corporate Air,CPR,,,
CPS,Compass International Airways,CPS,,,
CPT,Corporate Air,CPT,,,
CPV,Air Corporate,CPV,,,
CPW,Chippewa Air Commuter,CPW,,,
CPX,Capital Air Service,CPX,,,
CPZ,Compass Airlines,CPZ,CP,,
CQC,Central Queensland Aviation College,CQC,,,
CQH,Spring Airlines,CQH,9C,99[01]\d,
CQN,Chongqing Airlines,CQN,OQ,,
CRA,Coronado Aerolíneas,CRA,,,
CRB,Caricom Airways,CRB,,,
CRD,Air Corridor,CRD,QC,,
CRE,Cree Airways,CRE,,,
CRG,Cargoitalia,CRG,2G,,
CRH,CRI Helicopters Mexico,CRH,,,
CRJ,Air Cruzal,CRJ,,,
CRK,Hong Kong Airlines,CRK,HX,,
CRL,Corsair,CRL,SS,,
CRM,Commander Mexicana,CRM,,,
CRN,Empresa Aerocaribbean,CRN,,,
CRO,Crown Airways,CRO,,,
CRP,Aerotransportes Corporativos,CRP,,,
CRQ,Air Creebec,CRQ,,,
CRS,Comercial Aérea,CRS,,,
CRT,Caribintair,CRT,,,
CRW,Crownair,CRW,,,
CRX,Cross Aviation,CRX,,,.*
CRY,Primavia Limited,CRY,,,
CSA,Czech Airlines,CSA,OK,,
CSB,21 Air,CSB,2I,,
CSC,Sichuan Airlines,CSC,3U,,
CSD,Courier Services,CSD,,,
CSE,CSE Aviation,CSE,,,
CSF,Clasair,CSF,,,
CSG,China Southern Airlines Cargo,CSG,CZ,,
CSH,Shanghai Airlines,CSH,FM,(900[5-9]|9011),
CSI,Central Skyport,CSI,,,
CSJ,Castle Aviation,CSJ,,,
CSK,Flightcraft,CSK,,,
CSL,California Air Shuttle,CSL,,,
CSM,Ratkhan Air,CSM,,,
CSN,China Southern Airlines,CSN,CZ,,
CSO,Casino Airline,CSO,,,
CSP,Casper Air Service,CSP,,,
CSQ,IBC Airways,CSQ,II,,
CSS,SF Airlines,CSS,O3,,
CST,Coast Air,CST,BX,,
CSV,Coastal Travels,CSV,,,
CSW,Worldwide Air Charter Systems,CSW,,,
CSY,Shuangyang General Aviation,CSY,,,
CSZ,Shenzhen Airlines,CSZ,ZH,,
CTA,Aero Charter and Transport,CTA,,,
CTD,Aerocorporativos,CTD,,,
CTE,Air Tenglong,CTE,,,
CTF,Cutter Aviation,CTF,,,
CTG,Canadian Coast Guard,CTG,,,
CTH,China General Aviation Corporation,CTH,,,
CTJ,Tianjin Air Cargo,CTJ,HT,,
CTK,East Midlands Helicopters,CTK,,,
CTL,Central Airlines,CTL,,,
CTM,Commandement Du Transport Aerien Militaire Francais,CTM,,,
CTN,Croatia Airlines,CTN,OU,,
CTO,Cape Air Transport,CTO,,,
CTP,Tashkent Aircraft Production Corporation,CTP,,,
CTQ,CTK Network Aviation,CTQ,,,
CTR,Aerolíneas Centauro,CTR,,,
CTS,Center-South,CTS,,,
CTT,Custom Air Transport,CTT,,,
CTU,Citrus Airlines,CTU,,,
CTV,Citilink,CTV,QG,,
CTW,Cargo Three,CTW,,,
CTY,Cryderman Air Service,CTY,,,
CTZ,CATA Línea Aérea,CTZ,,,
CUA,China United Airlines,CUA,KN,,
CUB,Cubana de Aviación,CUB,CU,,
CUH,Urumqi Air,CUH,UQ,,
CUI,Cancun Air,CUI,,,
CUK,Polo Aviation,CUK,,,
CUO,Aerocuahonte,CUO,,,
CUT,Court Helicopters,CUT,,,
CVA,Air Chathams,CVA,,,
CVC,Centre-Avia,CVC,J7,,
CVE,Cabo Verde Express,CVE,,,
CVF,Dassault Falcon Jet Corporation,CVF,,,
CVG,Carill Aviation,CVG,,,
CVK,Cavok Air,CVK,,,.*
CVL,Coval Air,CVL,,,
CVO,Center Vol,CVO,,,
CVR,Chevron U.S.A,CVR,,,
CVT,Peran,CVT,,,
CVU,Grand Canyon Airlines,CVU,,,
CVV,Comeravia,CVV,,,
CWA,Canadian Western Airlines,CWA,W2,,
CWC,Centurion Air Cargo,CWC,WE,,
CWD,Caernarfon Airworld,CWD,,,
CWE,Celtic West,CWE,,,
CWH,Canadian Warplane Heritage Museum,CWH,,,
CWK,Comores Airlines,CWK,KR,,
CWL,Cranwell Flying Training Unit,CWL,,,
CWM,Air Marshall Islands,CWM,CW,,
CWN,Crown Airlines,CWN,FQ,,
CWP,Australian Customs Service,CWP,,,
CWT,Texas Airways,CWT,,,
CWU,Wuhan Airlines,CWU,,,
CWW,Canair,CWW,,,
CWX,Crow Executive Air,CWX,,,
CWY,Woodgate Executive Air Charter,CWY,,,
CWZ,Capitol Wings Airline,CWZ,,,
CXA,Xiamen Airlines,CXA,MF,,
CXE,Caicos Express Airways,CXE,,,
CXH,China Xinhua Airlines,CXH,XO,,
CXI,Corendon Airlines Europe,CXI,XR,,
CXJ,Xinjiang Airlines,CXJ,,,
CXK,ATP Flight School,CXK,,.*,
CXM,AsiaCargo Express,CXM,3G,,
CXO,Conroe Aviation Services,CXO,,,
CXP,Xtra Airways,CXP,XP,,
CXS,Boston-Maine Airways,CXS,E9,,
CYA,Cheyenne Airways,CYA,,,
CYC,Cyprair Tours,CYC,,,
CYE,Aerocheyenne,CYE,,,
CYF,Tus Airways,CYF,U8,,
CYG,Yana Airlines,CYG,,,
CYL,Air One Cityliner,CYL,,,
CYN,Colorful Yunnan General Aviation,CYN,ZO,,
CYO,Air Transport,CYO,,,
CYP,Cyprus Airways,CYP,CY,,
CYS,Cypress Airlines,CYS,,,
CYT,Crystal Shamrock,CYT,,,
CYZ,China Postal Airlines,CYZ,CF,,
DAA,Decatur Aviation,DAA,,,
DAB,Dassault Aviation,DAB,,,
DAC,Daily Air,DAC,DA,,
DAD,Dorado Air,DAD,,,
DAE,DHL Aero Expreso,DAE,D5,,
DAF,Danish Air Force,DAF,,,
DAG,Dagestan Airlines,DAG,N2,,
DAH,Air Algérie,DAH,AH,,
DAL,Delta Air Lines,DAL,DL,9\d\d\d,
DAM,Kyrgyzstan Department of Aviation,DAM,,,
DAO,Daallo Airlines,DAO,D3,,
DAP,Aerovías DAP,DAP,,,
DAR,Danish Army,DAR,,,
DAS,Damascene Airways,DAS,,,
DAT,Lynx Air,DAT,Y9,,
DAU,Dauair,DAU,D5,,
DAV,Dornier Aviation Nigeria,DAV,,,
DAY,Daya Aviation,DAY,,,
DBA,Air Alpha,DBA,,,
DBD,Air Niagara Express,DBD,,,
DBJ,Duchess of Britany (Jersey) Limited,DBJ,,,
DBK,Dubrovnik Air,DBK,,,
DBR,Dutchbird,DBR,,,
DCA,Dreamcatcher Airways,DCA,,,
DCC,Caribbean Air Cargo,DCC,,,
DCE,Dutch Caribbean Express,DCE,,,
DCL,Transportes Aéreos Don Carlos,DCL,,,
DCM,FLTPLAN,DCM,,,
DCN,Federal Armed Forces,DCN,,,
DCO,David Crawshaw Consultants Limited,DCO,,,
