ICAO,Registration,ModelICAO,Manufacturer,Model,ManufacturerAndModel,IsPrivateOperator,Operator,AirlineCode,SerialNumber,YearBuilt
ABE1AD,N865CS,F900,Dassault,Falcon 900EX,Dassault Falcon 900EX,1,Private,,136,2004
ABE200,N865G,P28A,Piper,Archer TX,Piper Archer TX,0,ATP Flight School,CXK,2881467,2021
ABE234,N865JB,C25B,Cessna,525B Citation CJ3,Cessna 525B Citation CJ3,0,Pittsburgh Jet Center,PJC,525B-0281,2008
ABE2D9,N865QS,C700,Cessna,700 Citation Longitude,Cessna 700 Citation Longitude,0,NetJets,EJA,700-0117,2024
ABE373,N865WW,CL30,Bombardier,Challenger 300,Bombardier Challenger 300,1,Private,,20225,2008
ABE52D,N866AM,B39M,Boeing,737 MAX 9,Boeing 737 MAX 9,0,Aeroméxico,AMX,43377,2023
ABE548,N866BP,C525,Cessna,525B CitationJet CJ3+,Cessna 525B CitationJet CJ3+,0,Textron Aviation,,525B-0684,2022
ABE690,N866QS,C700,Cessna,700 Citation Longitude,Cessna 700 Citation Longitude,0,NetJets,EJA,700-0118,2024
ABE959,N867FD,B77L,Boeing,777-F,Boeing 777-F,0,Federal Express,FDX,40673,2021
ABEC9B,N868AM,B38M,Boeing,737 MAX 8,Boeing 737 MAX 8,0,Aeroméxico,AMX,65188,2022
ABEE1B,N868RW,E170,Embraer,E170SU,Embraer E170SU,0,Envoy Air,ENY,17000131,2006
ABEE23,N868SD,C208,Cessna,208 Caravan 1,Cessna 208 Caravan 1,1,Private,,20800681,2021
ABEE96,N868WU,H25C,British Aerospace,BAe-125-1000,British Aerospace BAe-125-1000,1,Private,,259017,1992
